customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5869-YEFVG,Male,0,No,No,6,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,49.12,332.88,Yes
2555-HXTJJ,Female,0,No,Yes,7,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,79.46,548.06,No
9019-KARYK,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),85.17,5097.19,Yes
4147-JQFNR,Male,1,Yes,No,1,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,92.1,86.94,No
7796-XXDNW,Male,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),82.82,1822.17,Yes
1383-CEALE,Female,0,No,No,27,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,44.58,1196.24,No
4769-WVJRX,Male,1,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,264.18,No
4108-LKSIX,Male,0,Yes,No,28,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),50.89,1451.91,No
8946-LGUGX,Male,1,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.23,126.68,Yes
3217-XHYMF,Female,1,No,No,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,94.22,4246.56,Yes
6257-IZCVK,Male,0,No,No,3,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,51.63,160.49,No
7701-DBUOT,Male,1,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.46,381.83,No
1727-CWNJJ,Male,0,Yes,Yes,1,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),64.85,55.72,No
4532-TNCZC,Male,0,Yes,No,18,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Mailed check,80.15,1431.4,No
8892-MULWH,Female,0,No,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.51,1995.14,Yes
3069-ZONHC,Male,1,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.95,1301.1,No
3769-LZGHC,Female,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.63,697.56,No
3129-EJEBH,Female,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),78.99,1412.79,No
5785-ONZFG,Female,0,No,No,64,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),42.52,2731.03,No
