gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureBucket,AvgMonthlySpend,NumAddonServices
1,0,0,0,6,1,2,0,0,2,0,0,0,2,0,0,2,49.12,332.88,1,0,55.48,2
0,0,0,1,7,1,2,1,0,2,0,2,0,0,0,1,2,79.46,548.06,0,0,78.29,2
1,0,1,1,60,1,0,1,0,0,0,2,0,2,0,0,0,85.17,5097.19,1,3,84.95,2
1,1,1,0,1,1,0,1,2,0,0,2,2,2,2,1,2,92.1,86.94,0,0,86.94,4
1,0,0,0,22,1,2,1,0,2,0,2,0,0,0,1,1,82.82,1822.17,1,1,82.83,2
0,0,0,0,27,1,0,0,0,2,0,0,0,0,1,1,2,44.58,1196.24,0,2,44.31,1
1,1,1,0,16,1,2,2,1,1,1,1,1,1,1,1,2,18.0,264.18,0,1,16.51,0
1,0,1,0,28,1,0,0,0,0,0,2,0,0,2,1,0,50.89,1451.91,0,2,51.85,1
1,1,0,1,4,1,0,2,1,1,1,1,1,1,0,1,3,26.23,126.68,1,0,31.67,0
0,1,0,0,45,1,2,1,2,2,2,0,0,2,0,0,2,94.22,4246.56,1,2,94.37,4
1,0,0,0,3,1,2,0,0,0,2,2,0,0,0,1,3,51.63,160.49,0,0,53.5,2
1,1,0,0,12,1,2,2,1,1,1,1,1,1,0,1,2,31.46,381.83,0,0,31.82,0
1,0,1,1,1,0,1,1,0,2,0,0,0,0,2,1,0,64.85,55.72,0,0,55.72,1
1,0,1,0,18,1,0,1,2,0,0,0,2,0,2,0,3,80.15,1431.4,0,1,79.52,2
0,0,0,0,26,1,0,1,0,0,0,0,2,0,0,1,0,75.51,1995.14,1,2,76.74,1
1,1,0,0,68,1,0,2,1,1,1,1,1,1,2,1,0,18.95,1301.1,0,3,19.13,0
0,0,1,0,32,1,0,2,1,1,1,1,1,1,0,1,0,22.63,697.56,0,2,21.8,0
0,0,1,0,18,1,2,1,2,0,2,0,0,0,2,0,1,78.99,1412.79,0,1,78.49,2
0,0,0,0,64,1,0,0,0,0,0,2,0,0,0,1,0,42.52,2731.03,0,3,42.67,1
1,0,1,0,15,1,2,1,2,0,0,0,2,2,2,1,3,84.56,1275.76,0,1,85.05,3
0,0,1,1,19,1,0,2,1,1,1,1,1,1,0,1,3,20.82,406.14,1,1,21.38,0
1,0,0,0,21,1,0,1,0,0,0,2,0,2,0,0,2,84.56,1746.04,1,1,83.14,2
0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,1,0,27.09,331.48,1,0,27.62,0
0,0,0,0,43,1,0,1,0,0,0,2,2,2,0,0,0,80.72,3493.27,1,2,81.24,3
0,0,1,1,4,1,2,2,1,1,1,1,1,1,1,1,2,28.36,83.34,0,0,20.84,0
0,0,0,0,19,1,2,0,0,0,0,2,2,0,0,0,1,52.86,1039.13,0,1,54.69,2
0,0,0,1,30,1,0,1,2,2,2,0,0,0,1,0,0,82.45,2480.1,0,2,82.67,3
0,1,0,1,56,1,0,1,0,0,2,0,0,2,1,0,3,77.95,4367.39,0,3,77.99,2
0,0,0,0,51,1,2,1,0,0,2,0,2,2,1,1,2,75.24,3818.21,0,3,74.87,3
0,1,1,1,17,1,2,0,2,0,0,0,0,0,2,1,3,47.89,801.39,0,1,47.14,1
1,0,1,1,24,1,2,2,1,1,1,1,1,1,0,1,0,26.56,629.89,0,1,26.25,0
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,2,22.39,240.16,0,0,20.01,0
0,0,1,1,15,1,0,2,1,1,1,1,1,1,2,0,3,21.14,310.8,0,1,20.72,0
0,0,0,0,56,1,0,0,0,0,2,0,2,2,1,1,1,61.75,3440.16,0,3,61.43,3
0,0,0,1,64,1,0,0,0,2,0,2,0,0,1,0,0,61.31,3937.5,0,3,61.52,2
1,0,0,0,54,1,0,1,0,2,2,0,2,0,1,1,3,80.61,4292.02,0,3,79.48,3
0,0,0,0,3,1,2,1,0,0,2,2,0,0,0,0,3,84.52,248.62,1,0,82.87,2
1,0,1,0,45,1,0,0,2,0,0,2,2,2,1,1,2,65.33,2920.5,0,2,64.9,4
1,0,1,1,71,1,0,1,0,0,2,0,2,0,2,1,1,76.08,5401.73,0,3,76.08,2
1,0,1,1,10,1,2,1,0,2,0,2,2,0,0,1,1,87.32,920.28,1,0,92.03,3
1,0,1,1,17,1,2,1,0,2,0,0,2,2,2,0,0,85.42,1485.62,0,1,87.39,3
1,0,1,0,36,1,0,1,0,0,2,0,2,0,0,0,2,75.97,2725.02,1,2,75.69,2
0,1,0,0,19,1,2,1,0,0,2,2,0,2,0,1,2,79.65,1509.64,1,1,79.45,3
0,0,0,1,72,1,0,0,0,0,0,0,0,0,2,1,2,42.83,3067.0,0,3,42.6,0
0,0,1,1,14,1,0,0,2,0,0,2,0,0,2,1,3,52.44,731.14,0,1,52.22,2
0,0,1,1,30,0,1,2,1,1,1,1,1,1,2,1,2,26.1,797.72,0,2,26.59,0
0,0,0,0,37,1,0,0,0,2,0,0,0,2,2,1,0,53.93,1969.14,0,2,53.22,2
1,0,1,0,16,1,0,2,1,1,1,1,1,1,0,1,3,18.13,321.41,0,1,20.09,0
0,0,0,0,46,0,1,0,0,2,2,2,2,0,1,1,2,70.64,3267.73,0,2,71.04,4
0,0,0,0,18,1,0,1,2,0,2,0,2,2,0,0,0,96.75,1758.92,1,1,97.72,4
1,0,0,0,12,1,2,0,2,2,2,2,0,2,0,0,2,65.84,797.73,0,0,66.48,5
0,0,1,1,2,1,0,2,1,1,1,1,1,1,0,1,1,18.0,17.93,0,0,8.96,0
1,0,0,1,11,1,0,2,1,1,1,1,1,1,1,0,3,22.58,268.62,0,0,24.42,0
